,var1(t),var1(t+1),var1(t+2),var1(t+3),var1(t+4),var1(t+5),var1(t+6),var1(t+7),var1(t+8),var1(t+9),var1(t+10),var1(t+11),var1(t+12),var1(t+13),var1(t+14),var1(t+15)
2018-08-16 11:15:00,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973
2018-08-16 11:30:00,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173
2018-08-16 11:45:00,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262
2018-08-16 12:00:00,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002
2018-08-16 12:15:00,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831
2018-08-16 12:30:00,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108
2018-08-16 12:45:00,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999
2018-08-16 13:00:00,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021
2018-08-16 13:15:00,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761
2018-08-16 13:30:00,30.641521,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559
2018-08-16 13:45:00,29.665232,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081
2018-08-16 14:00:00,28.794361,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892
2018-08-16 14:15:00,27.629282,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615
2018-08-16 14:30:00,26.572773,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001
2018-08-16 14:45:00,24.07545,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749
2018-08-16 15:00:00,23.531973,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0
2018-08-16 15:15:00,21.646173,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0
2018-08-16 15:30:00,19.762262,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0
2018-08-16 15:45:00,16.852710000000002,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0
2018-08-16 16:00:00,10.693831,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0
2018-08-16 16:15:00,9.48108,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 16:30:00,7.558530999999999,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 16:45:00,9.715021,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 17:00:00,8.873761,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 17:15:00,4.82559,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 17:30:00,3.75081,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 17:45:00,1.43892,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 18:00:00,0.90615,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 18:15:00,0.4111800000000001,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16 18:30:00,0.07749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849
2018-09-09 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294
2018-09-09 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371
2018-09-09 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251
2018-09-09 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451
2018-09-09 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001
2018-09-09 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602
2018-09-09 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002
2018-09-09 04:15:00,0.0,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512
2018-09-09 04:30:00,0.0,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233
2018-09-09 04:45:00,0.0,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081
2018-09-09 05:00:00,0.0,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894
2018-09-09 05:15:00,0.0,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593
2018-09-09 05:30:00,0.09534,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673
2018-09-09 05:45:00,0.50148,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295
2018-09-09 06:00:00,1.35849,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995
2018-09-09 06:15:00,2.73294,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251
2018-09-09 06:30:00,4.598371,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242
2018-09-09 06:45:00,6.851251,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723
2018-09-09 07:00:00,9.249451,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644
2018-09-09 07:15:00,10.815001,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293
2018-09-09 07:30:00,12.213602,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004
2018-09-09 07:45:00,16.839691000000002,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915
2018-09-09 08:00:00,18.843512,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082
2018-09-09 08:15:00,20.74233,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292
2018-09-09 08:30:00,22.522081,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287
2018-09-09 08:45:00,24.130894,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612
2018-09-09 09:00:00,25.615593,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995
2018-09-09 09:15:00,26.927673,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652
2018-09-09 09:30:00,28.255295,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192
2018-09-09 09:45:00,29.289121999999995,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006
2018-09-09 10:00:00,30.182251,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401
2018-09-09 10:15:00,30.942242,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262
2018-09-09 10:30:00,31.506723,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631
2018-09-09 10:45:00,32.210644,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152
